name,current_price,market_cap,total_volume,price_change_percentage_24h,price_volatility
Bitcoin,71236.0,1424373946458,35926652145.0,0.68516,0.68516
Ethereum,2163.62,261000900686,15700073528.0,0.16145,0.16145
Tether,0.999613,184143769942,61336577020.0,0.004,0.004
BNB,646.29,88107189997,996392958.0,1.05591,1.05591
XRP,1.41,86576589402,1856525239.0,-0.4129,0.4129
USDC,0.999903,78656709856,5258261620.0,0.00903,0.00903
Solana,91.72,52483599488,3455234483.0,0.67089,0.67089
TRON,0.314121,29760314118,465821697.0,2.45059,2.45059
Figure Heloc,1.024,16544238058,27941743.0,-0.92053,0.92053
Dogecoin,0.095622,14684284698,1125895273.0,0.75363,0.75363
WhiteBIT Coin,54.8,11697446110,53116533.0,0.03042,0.03042
USDS,0.999831,11654130527,7302120.0,-0.04164,0.04164
Cardano,0.26876,9905708156,443288448.0,0.50291,0.50291
Hyperliquid,40.11,9561816523,277843014.0,-0.95746,0.95746
Bitcoin Cash,472.48,9455276008,186098880.0,-1.1408,1.1408
LEO Token,9.49,8737572793,336397.0,0.27,0.27
Chainlink,9.35,6619469726,355318852.0,1.10778,1.10778
Monero,339.45,6260444243,112708483.0,-0.07519,0.07519
Ethena USDe,0.999645,5918366179,84717844.0,0.04588,0.04588
Stellar,0.177185,5849904654,170231523.0,-0.34321,0.34321
Canton,0.142014,5416273222,12830393.0,-0.42658,0.42658
USD1,0.999188,4419500443,975344636.0,0.01166,0.01166
Litecoin,56.33,4339148786,330800004.0,0.04416,0.04416
Dai,0.999867,4312051465,152274283.0,-0.00704,0.00704
Rain,0.0089781,4294414753,49215682.0,1.72989,1.72989
Avalanche,9.65,4169131663,234367867.0,0.38347,0.38347
MemeCore,2.38,4153041225,27976140.0,38.10059,38.10059
Hedera,0.094294,4083256171,91371765.0,-0.28672,0.28672
PayPal USD,0.999651,3953605983,56331310.0,-0.07017,0.07017
Zcash,233.04,3875260150,369260660.0,-5.27836,5.27836
Sui,0.964826,3763603636,335930029.0,1.1335,1.1335
Shiba Inu,6.1e-06,3597530593,113434537.0,-1.2645,1.2645
Bittensor,353.98,3396341525,970976009.0,6.48499,6.48499
Toncoin,1.32,3255311009,76559265.0,0.03073,0.03073
Cronos,0.074835,3165583937,8656265.0,-0.55109,0.55109
World Liberty Financial,0.102182,2939579119,66920727.0,-2.21003,2.21003
Tether Gold,4524.11,2531083836,638354514.0,-0.91723,0.91723
Mantle,0.740917,2428065869,48741336.0,3.41004,3.41004
Uniswap,3.7,2342971758,218812932.0,2.62161,2.62161
PAX Gold,4533.06,2330150863,396899428.0,-0.83604,0.83604
Polkadot,1.36,2282697407,203174635.0,-3.08674,3.08674
BlackRock USD Institutional Digital Liquidity Fund,1.0,2087615917,0.0,0.0,0.0
Pi Network,0.189703,1871664804,16642768.0,1.4578,1.4578
OKB,86.94,1826059695,16532897.0,0.54091,0.54091
Global Dollar,0.999847,1784733099,40548476.0,-0.01723,0.01723
Falcon USD,0.998509,1747402646,740545.0,0.03237,0.03237
Aave,112.31,1704897086,314381286.0,-0.18505,0.18505
Sky,0.073181,1687388061,19867321.0,2.91119,2.91119
NEAR Protocol,1.27,1645010409,180524897.0,-1.64205,1.64205
